Animal_ID	Treatment	meanBW	BWC1	days_period	Fat	Protein	Milk	intake	energyTMR	DIM
61472	Control	66.9	-1	31	66.2	49.1	2.63	2.61	0.93	23
61473	Control	73.4	0	31	59.8	46.1	2.55	2.714	0.93	29
61474	Control	66.1	0.6	31	55.3	49.8	1.53	2.462	0.93	32
61477	Challenge	54.4	-6	31	71.7	50.6	2.18	2.307	0.93	31
61480	Control	66.8	0	31	55.4	49.6	2.63	2.985	0.93	50
61483	Control	77.9	0	31	52.8	49.6	3.04	3.156	0.93	28
61484	Control	58.7	2.6	31	56.7	46.1	2.53	2.985	0.93	52
61485	Challenge	65.4	0	31	50.9	45.3	2.31	2.849	0.93	42
61486	Control	67	2.8	31	45.3	43	2.27	2.791	0.93	49
61488	Challenge	59.7	0	31	57.6	48.5	1.75	2.437	0.93	57
61489	Control	61.2	0.8	31	58.7	53.3	1.83	2.513	0.93	46
61490	Control	67.7	1.8	31	56.8	46.7	2.57	2.957	0.93	48
61493	Control	49.9	0.2	31	54.8	53.3	2.08	2.286	0.93	49
61498	Control	64	1.6	31	53.1	47.5	2.18	2.716	0.93	49
61499	Challenge	67.4	0	31	57.3	51.9	2.15	2.691	0.93	29
61501	Challenge	65.2	0	31	51.6	47.1	3.03	2.99	0.93	50
61502	Challenge	68.2	0	31	56	46.4	2.47	2.918	0.93	49
61503	Challenge	59.8	1.2	31	52.8	44.9	1.58	2.361	0.93	50
61504	Challenge	64.6	2	31	54	46	2	2.535	0.93	48
61506	Challenge	75	0	31	52.5	44.3	3.1	3.273	0.93	49
61507	Control	57.2	2	31	56.6	53	2.01	2.456	0.93	51
61509	Challenge	76.2	-0.8	31	58.2	51.1	3.27	3.327	0.93	40
61514	Control	75.4	1.2	31	56.5	51.4	2.32	3.014	0.93	50
61518	Challenge	65.8	3.2	31	47.7	50.1	2.25	2.961	0.93	33
61520	Challenge	47.6	0	31	57.8	46	2.66	2.621	0.93	45
61521	Challenge	57.4	0	31	57	43.5	3.16	2.874	0.93	49
61522	Control	54.7	0	31	50.1	45.6	3.99	3.077	0.93	46
61523	Control	67.1	-1.8	31	71.6	50.1	2.1	2.263	0.93	37
61526	Control	73.3	0	31	61	49.2	3.04	3.182	0.93	51
61527	Control	77.3	3.4	31	58.8	50.5	2.36	3.109	0.93	47
61528	Control	69.8	0	31	56.2	52.1	3.64	3.492	0.93	48
61530	Challenge	72	1.2	31	57.3	53.2	2.92	3.043	0.93	48
61532	Challenge	62.7	0	31	61	52.4	1.94	2.621	0.93	47
61534	Challenge	62.2	1.2	31	49.6	44.1	2.95	2.811	0.93	47
61536	Challenge	58.6	0	31	63.7	49.1	3.06	2.808	0.93	50
61539	Challenge	56.1	-0.2	31	54.6	50.1	2.7	2.973	0.93	49
61540	Control	63	0	31	74.5	51.2	2.23	2.701	0.93	47
61541	Challenge	67.9	0	31	62.9	49.3	2.97	2.912	0.93	47
61543	Challenge	69	-0.8	31	66.2	50.3	2.28	2.712	0.93	47
	Control									
